"期間","排名","國家","出口總值(新臺幣千元)","百分比","備註"
"113年1-8月","1","美國","2418574929","24.48",
"113年1-8月","2","中國大陸","1993883964","20.18",
"113年1-8月","3","香港","1046383103","10.59",
"113年1-8月","4","新加坡","685017416","6.93",
"113年1-8月","5","日本","543911506","5.5",
"113年1-8月","6","南韓","416648083","4.22",
"113年1-8月","7","馬來西亞","402837252","4.08",
"113年1-8月","8","越南","297315643","3.01",
"113年1-8月","9","泰國","246268213","2.49",
"113年1-8月","10","荷蘭","217675615","2.2",
"113年1-8月","11","印度","165275767","1.67",
"113年1-8月","12","德國","147060959","1.49",
"113年1-8月","13","墨西哥","138904453","1.41",
"113年1-8月","14","澳大利亞","126302495","1.28",
"113年1-8月","15","菲律賓","91053608","0.92",
"113年1-8月","16","英國","72148375","0.73",
"113年1-8月","17","印尼","63997390","0.65",
"113年1-8月","18","加拿大","55201369","0.56",
"113年1-8月","19","義大利","51669121","0.52",
"113年1-8月","20","比利時","46059077","0.47",
"113年1-8月","21","捷克","42966844","0.43",
"113年1-8月","22","法國","38727238","0.39",
"113年1-8月","23","波蘭","36415071","0.37",
"113年1-8月","24","阿拉伯聯合大公國","33482207","0.34",
"113年1-8月","25","愛爾蘭","31619317","0.32",
"113年1-8月","26","西班牙","30724606","0.31",
"113年1-8月","27","土耳其","26609735","0.27",
"113年1-8月","28","巴西","25935682","0.26",
"113年1-8月","29","孟加拉","21430056","0.22",
"113年1-8月","30","以色列","21313551","0.22",
"113年8月","1","美國","387263846","27.24",
"113年8月","2","中國大陸","281210665","19.78",
"113年8月","3","香港","145972614","10.27",
"113年8月","4","新加坡","90130083","6.34",
"113年8月","5","日本","67576156","4.75",
"113年8月","6","南韓","66441602","4.67",
"113年8月","7","馬來西亞","55338691","3.89",
"113年8月","8","越南","43048649","3.03",
"113年8月","9","荷蘭","36210921","2.55",
"113年8月","10","泰國","25291328","1.78",
"113年8月","11","印度","22194492","1.56",
"113年8月","12","墨西哥","22145163","1.56",
"113年8月","13","德國","20118197","1.41",
"113年8月","14","澳大利亞","17538248","1.23",
"113年8月","15","菲律賓","11231490","0.79",
"113年8月","16","英國","10753619","0.76",
"113年8月","17","印尼","8731328","0.61",
"113年8月","18","義大利","7663644","0.54",
"113年8月","19","加拿大","7645465","0.54",
"113年8月","20","比利時","6474274","0.46",
"113年8月","21","愛爾蘭","5777500","0.41",
"113年8月","22","法國","5421044","0.38",
"113年8月","23","阿拉伯聯合大公國","3968407","0.28",
"113年8月","24","波蘭","3724880","0.26",
"113年8月","25","巴西","3631721","0.26",
"113年8月","26","西班牙","3605459","0.25",
"113年8月","27","捷克","3252369","0.23",
"113年8月","28","以色列","3232901","0.23",
"113年8月","29","土耳其","3067129","0.22",
"113年8月","30","沙烏地阿拉伯","3058808","0.22",
"113年7月","1","美國","372170719","28.68",
"113年7月","2","中國大陸","247848677","19.1",
"113年7月","3","香港","129204020","9.96",
"113年7月","4","日本","74845247","5.77",
"113年7月","5","新加坡","74131896","5.71",
"113年7月","6","馬來西亞","59825077","4.61",
"113年7月","7","南韓","54184274","4.18",
"113年7月","8","越南","37335984","2.88",
"113年7月","9","泰國","24558647","1.89",
"113年7月","10","荷蘭","22658372","1.75",
"113年7月","11","墨西哥","19062350","1.47",
"113年7月","12","印度","18677649","1.44",
"113年7月","13","德國","15856905","1.22",
"113年7月","14","澳大利亞","13612308","1.05",
"113年7月","15","菲律賓","13093420","1.01",
"113年7月","16","英國","10646449","0.82",
"113年7月","17","印尼","9672641","0.75",
"113年7月","18","波蘭","7310539","0.56",
"113年7月","19","義大利","6606803","0.51",
"113年7月","20","加拿大","6302581","0.49",
"113年7月","21","法國","4963578","0.38",
"113年7月","22","比利時","4377828","0.34",
"113年7月","23","阿拉伯聯合大公國","4275788","0.33",
"113年7月","24","西班牙","4076559","0.31",
"113年7月","25","捷克","4047679","0.31",
"113年7月","26","愛爾蘭","3910809","0.3",
"113年7月","27","巴西","3620127","0.28",
"113年7月","28","沙烏地阿拉伯","3141421","0.24",
"113年7月","29","土耳其","3126389","0.24",
"113年7月","30","以色列","2713494","0.21",
"113年6月","1","美國","292483254","22.69",
"113年6月","2","中國大陸","259532760","20.13",
"113年6月","3","香港","156246584","12.12",
"113年6月","4","新加坡","96317077","7.47",
"113年6月","5","日本","72865140","5.65",
"113年6月","6","南韓","54626491","4.24",
"113年6月","7","馬來西亞","50983064","3.95",
"113年6月","8","越南","37817482","2.93",
"113年6月","9","荷蘭","37676475","2.92",
"113年6月","10","印度","21877635","1.7",
"113年6月","11","泰國","20399590","1.58",
"113年6月","12","墨西哥","19166198","1.49",
"113年6月","13","德國","18335195","1.42",
