國家/地區別,總計(千美元),1.活動物；動物產品(千美元),2.植物產品(千美元),3.動植物油脂(千美元),4.調製食品；飲料及菸酒(千美元),5.礦產品(千美元),6.化學品(千美元),7.塑膠、橡膠及其製品(千美元),8.毛皮及其製品(千美元),9.木及木製品(千美元),10.紙漿；紙及其製品；印刷品(千美元),11.紡織品(千美元),12.鞋、帽及其他飾品(千美元),13.非金屬礦物製品(千美元),14.珠寶及貴金屬製品(千美元),15.基本金屬及其製品(千美元),16.機械及電機設備(千美元),17.運輸工具(千美元),18.光學及精密儀器；鐘錶；樂器(千美元),19.其他(千美元)
90年,28128251,199717,29192,4678,125710,95241,266266,1222438,84884,96120,64555,2182416,176137,131504,14581,2924903,16823401,1347010,791974,1547523
90年 1月,2363807,13964,1857,367,7382,10007,20077,102363,7237,8190,4768,150901,15999,13361,1147,264959,1416449,110744,66351,147684
90年 2月,2202521,12343,2480,246,7869,9302,20665,90133,5465,5464,4767,133619,13037,8650,669,209906,1390488,104765,67377,115278
90年 3月,2650755,23401,2312,255,11430,9704,25370,107058,7267,7692,6217,160884,14255,11037,1399,253008,1685422,114520,71691,137835
90年 4月,2419329,23488,2358,386,13166,18766,24049,103068,8324,8561,5313,154068,13277,10624,1312,256978,1442953,123985,68921,139731
90年 5月,2334234,12162,2662,457,13934,10294,28289,113742,7973,8907,6251,182177,14291,11386,1442,260686,1341814,110753,71337,135679
90年 6月,2416978,12517,3634,396,16131,13766,24926,104267,7541,7821,5357,208311,17870,11584,1643,226296,1453451,114041,65049,122377
90年 7月,2334338,16697,3656,363,8936,1184,21436,101723,6817,8146,5208,226924,15024,10968,903,240477,1380118,106970,57612,121176
90年 8月,2312608,13451,2254,287,8704,12236,22015,105106,6680,9540,5745,244202,15245,12121,1258,251548,1304138,105558,68350,124169
90年 9月,2017553,17926,1407,300,7006,1029,18985,88533,7267,7756,4507,197047,13311,9473,831,217461,1151788,102425,52950,117554
